no,dev-id,alias,channel,mac_address,alias_info
52,ATK00162A836903,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS Bidadari | Kemayoran 1",Provisioning,00:16:2a:83:69:03,IBS Bidadari | Kemayoran 1
50,ATK00162A836561,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Gandaria 41-2",Provisioning,00:16:2a:83:65:61,IBS P. Bidadari | Cottage Gandaria 41-2
53,ATK00162A836812,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Menteng 11",Provisioning,00:16:2a:83:68:12,IBS P. Bidadari | Cottage Menteng 11
51,ATK00162A83680A,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Menteng 12",Provisioning,00:16:2a:83:68:0a,IBS P. Bidadari | Cottage Menteng 12
47,ATK00162A83651F,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, HTS",GOTV-Basic Lokal & International,00:16:2a:83:65:1f,HTS
48,ATK00162A836811,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senen 20",Provisioning,00:16:2a:83:68:11,IBS P. Bidadari | Cottage Senen 20
46,ATK00162A836901,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:69:01,IBS P. Bidadari
49,ATK00162A836902,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:69:02,IBS P. Bidadari
44,ATK00162A8368F3,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senayan 29-3",Provisioning,00:16:2a:83:68:f3,IBS P. Bidadari | Cottage Senayan 29-3
60,ATK00162A83682A,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS Putri Duyung",GOTV-Basic Lokal & International,00:16:2a:83:68:2a,IBS Putri Duyung
41,ATK00162A8368D7,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Monitoring lt. 21| Helmi",GOTV PLATINUM 35 CH ++,00:16:2a:83:68:d7,Monitoring lt. 21| Helmi
42,ATK00162A8368D9,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:68:d9,IBS P. Bidadari
43,ATK00162A83655F,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, WNI HTS-Imam Wahyudi",12,00:16:2a:83:65:5f,WNI HTS-Imam Wahyudi
40,ATK00162A836900,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senayan 29-1",Provisioning,00:16:2a:83:69:00,IBS P. Bidadari | Cottage Senayan 29-1
38,ATK00162A8368D6,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:68:d6,IBS P. Bidadari
87,ATK00162A836503,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:03,Stock stb from ibs ancol
55,ATK00162A836813,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Menteng 15",Provisioning,00:16:2a:83:68:13,IBS P. Bidadari | Cottage Menteng 15
45,ATK00162A83655E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra European United",11,00:16:2a:83:65:5e,Menara Astra European United
37,ATK00162A8368D5,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Tjondet 9",Provisioning,00:16:2a:83:68:d5,IBS P. Bidadari | Cottage Tjondet 9
34,ATK00162A83648A,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:64:8a,IBS P. Bidadari
33,ATK00162A836489,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senayan 38-2",Provisioning,00:16:2a:83:64:89,IBS P. Bidadari | Cottage Senayan 38-2
29,ATK00162A8364D4,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Senayan 26-1",Provisioning,00:16:2a:83:64:d4,IBS P. Bidadari | Cottage Senayan 26-1
31,ATK00162A8364CB,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:64:cb,IBS P. Bidadari
35,ATK00162A83648D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:64:8d,IBS P. Bidadari
30,ATK00162A8367E5,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra Bank Permata lt. 3",11,00:16:2a:83:67:e5,Menara Astra Bank Permata lt. 3
39,ATK00162A8368D8,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Tjondet 8",Provisioning,00:16:2a:83:68:d8,IBS P. Bidadari | Cottage Tjondet 8
24,ATK00162A842C2F,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink |Farhan H3/12a",GOTV-Basic Lokal & International,00:16:2a:84:2c:2f,Interlink |Farhan H3/12a
23,ATK00162A842CC2,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink | Adi E16/6",GOTV-Basic Lokal & International,00:16:2a:84:2c:c2,Interlink | Adi E16/6
22,ATK00162A842C76,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Interlink|Maulana H11/3",GOTV-Basic Lokal & International,00:16:2a:84:2c:76,Interlink|Maulana H11/3
28,ATK00162A8367E6,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:67:e6,Stock stb from ibs ancol
